Timestamp,mq2,mq3,mq5,mq6,mq8,mq9,mics_Vred,mics_Vnox,mq214
2024-05-09 15:09:11,426,222,190,545,227,455,177,584,786
2024-05-09 15:09:12,426,222,190,545,227,454,177,404,785
2024-05-09 15:09:13,426,222,190,545,226,453,176,401,785
2024-05-09 15:09:14,425,221,189,545,225,453,177,400,785
2024-05-09 15:09:15,425,221,189,545,225,453,174,397,785
2024-05-09 15:09:17,425,221,189,545,225,453,175,396,785
2024-05-09 15:09:18,426,222,190,545,226,454,176,396,785
2024-05-09 15:09:19,426,222,190,546,226,454,176,395,785
2024-05-09 15:09:20,426,222,190,546,226,454,177,394,784
2024-05-09 15:09:21,426,222,190,546,225,454,176,393,785
2024-05-09 15:09:22,426,221,189,546,224,454,176,393,785
2024-05-09 15:09:23,426,222,190,546,223,454,177,392,786
2024-05-09 15:09:24,426,222,189,546,222,454,176,392,785
2024-05-09 15:09:25,426,222,189,546,222,454,176,392,784
2024-05-09 15:09:26,426,221,189,546,222,455,176,391,785
2024-05-09 15:09:27,426,222,190,546,222,454,176,391,785
2024-05-09 15:09:28,426,222,189,546,222,454,176,391,785
2024-05-09 15:09:29,426,222,189,546,221,454,176,390,785
2024-05-09 15:09:30,426,222,189,546,221,454,176,389,785
2024-05-09 15:09:31,426,221,189,546,221,455,176,389,785
2024-05-09 15:09:32,426,222,190,546,221,455,176,389,785
2024-05-09 15:09:33,426,222,189,546,221,454,175,389,785
2024-05-09 15:09:34,426,222,189,546,220,454,176,389,784
2024-05-09 15:09:35,426,222,189,546,220,455,176,388,785
2024-05-09 15:09:36,425,221,188,546,219,454,175,388,785
2024-05-09 15:09:37,426,222,189,546,220,455,176,386,785
2024-05-09 15:09:38,426,222,189,546,220,454,177,388,785
2024-05-09 15:09:39,426,222,189,546,220,455,177,388,785
2024-05-09 15:09:40,426,221,189,546,220,455,175,388,785
2024-05-09 15:09:41,425,222,189,546,220,455,176,386,785
2024-05-09 15:09:42,426,222,189,546,220,455,176,387,785
2024-05-09 15:09:43,426,222,189,546,220,455,177,387,785
2024-05-09 15:09:44,426,222,189,546,220,455,175,387,785
2024-05-09 15:09:45,426,222,188,546,220,455,177,387,785
2024-05-09 15:09:46,426,222,189,546,220,455,175,386,785
2024-05-09 15:09:47,426,222,190,546,220,455,177,387,785
2024-05-09 15:09:48,426,222,190,546,222,454,177,386,785
2024-05-09 15:09:49,425,223,190,546,222,455,177,385,785
2024-05-09 15:09:50,425,222,190,546,223,455,178,385,784
2024-05-09 15:09:51,425,221,189,545,222,454,177,384,784
2024-05-09 15:09:52,426,223,190,546,223,455,177,385,785
2024-05-09 15:09:53,425,222,189,546,221,454,177,385,784
2024-05-09 15:09:54,425,222,189,545,220,454,178,385,785
2024-05-09 15:09:55,425,222,189,545,221,455,177,386,784
2024-05-09 15:09:56,425,222,190,545,221,455,177,385,785
2024-05-09 15:09:57,425,222,189,546,221,454,177,385,784
2024-05-09 15:09:58,425,222,189,545,220,455,176,384,784
2024-05-09 15:09:59,425,222,189,545,220,454,176,385,785
2024-05-09 15:10:00,425,222,189,545,220,454,176,384,784
2024-05-09 15:10:01,425,222,189,545,220,454,176,384,784
2024-05-09 15:10:02,425,222,190,545,220,454,174,384,784
2024-05-09 15:10:03,425,222,189,546,220,454,176,385,784
2024-05-09 15:10:04,425,222,189,545,220,454,177,384,784
2024-05-09 15:10:05,425,222,189,545,220,455,177,383,784
2024-05-09 15:10:06,425,222,190,545,221,454,177,384,784
2024-05-09 15:10:07,425,222,189,545,220,454,177,383,784
2024-05-09 15:10:08,425,222,189,545,220,454,176,384,784
2024-05-09 15:10:09,425,222,189,545,220,454,176,383,784
2024-05-09 15:10:10,424,221,188,544,219,454,175,383,784
2024-05-09 15:10:11,425,222,189,546,220,454,177,383,784
2024-05-09 15:10:12,424,222,189,545,219,454,176,383,784
2024-05-09 15:10:13,425,222,189,545,222,455,177,382,784
2024-05-09 15:10:14,424,222,189,545,220,454,176,382,784
2024-05-09 15:10:15,424,222,189,545,220,454,177,383,784
2024-05-09 15:10:16,424,222,189,545,220,454,176,382,784
2024-05-09 15:10:17,425,223,189,545,220,454,177,383,785
2024-05-09 15:10:18,424,222,189,545,219,454,176,383,784
2024-05-09 15:10:19,424,222,189,545,219,454,176,383,784
2024-05-09 15:10:20,424,222,189,545,220,454,178,383,784
2024-05-09 15:10:21,424,222,189,545,220,454,177,382,784
2024-05-09 15:10:22,425,222,189,545,220,454,176,382,784
2024-05-09 15:10:23,424,222,189,545,220,454,178,383,784
2024-05-09 15:10:24,424,222,189,545,220,454,176,382,784
2024-05-09 15:10:25,424,221,189,545,219,454,176,381,784
2024-05-09 15:10:26,424,223,190,545,222,455,178,381,784
