Timestamp,mq2,mq3,mq5,mq6,mq8,mq9,mics_Vred,mics_Vnox,mq214
2024-07-16 14:15:00,197,53,29,150,29,132,34,543,1012
2024-07-16 14:15:01,196,53,29,149,29,132,34,543,1011
2024-07-16 14:15:02,196,53,29,148,29,132,34,543,1012
2024-07-16 14:15:03,195,53,29,148,29,131,34,543,1012
2024-07-16 14:15:04,195,53,29,148,29,131,32,542,1012
2024-07-16 14:15:05,194,53,29,147,29,131,31,542,1012
2024-07-16 14:15:06,193,53,29,147,29,130,31,542,1012
2024-07-16 14:15:07,192,52,29,147,29,130,31,542,1012
2024-07-16 14:15:08,191,52,29,146,29,129,31,541,1012
2024-07-16 14:15:09,191,52,29,146,29,129,32,541,1011
2024-07-16 14:15:10,190,52,29,146,29,129,32,541,1012
2024-07-16 14:15:11,190,52,29,146,29,129,33,541,1012
2024-07-16 14:15:12,189,51,28,145,29,129,33,541,1012
2024-07-16 14:15:13,189,52,29,145,29,129,33,541,1011
2024-07-16 14:15:14,188,52,28,144,29,128,33,541,1012
2024-07-16 14:15:15,188,51,28,144,29,128,32,541,1012
2024-07-16 14:15:16,188,51,28,144,29,128,32,540,1011
2024-07-16 14:15:17,187,52,28,144,29,128,32,540,1011
2024-07-16 14:15:18,187,52,28,144,29,128,32,540,1011
2024-07-16 14:15:19,187,51,28,144,29,128,33,540,1011
2024-07-16 14:15:20,186,51,29,143,29,128,33,540,1011
2024-07-16 14:15:21,186,51,28,143,29,127,33,540,1011
2024-07-16 14:15:22,185,51,28,143,29,127,33,540,1012
2024-07-16 14:15:23,185,51,28,143,29,127,33,539,1012
2024-07-16 14:15:24,185,50,28,143,29,127,33,539,1012
2024-07-16 14:15:25,185,51,28,142,29,127,34,540,1012
2024-07-16 14:15:26,184,50,28,142,29,127,34,540,1011
2024-07-16 14:15:27,184,51,28,142,29,127,34,539,1012
2024-07-16 14:15:28,184,50,28,142,29,127,33,540,1012
2024-07-16 14:15:29,184,50,28,142,29,127,34,539,1011
2024-07-16 14:15:30,183,50,28,142,29,127,34,539,1012
2024-07-16 14:15:31,184,50,28,142,29,127,34,539,1012
2024-07-16 14:15:32,193,51,28,146,29,128,36,539,1012
2024-07-16 14:15:33,210,55,28,155,29,140,34,538,1012
2024-07-16 14:15:34,220,57,29,165,29,146,102,539,1012
2024-07-16 14:15:35,220,60,30,172,29,146,67,538,1012
2024-07-16 14:15:36,217,62,30,174,29,144,39,538,1012
2024-07-16 14:15:37,216,62,30,175,29,142,34,538,1012
2024-07-16 14:15:38,215,61,30,173,29,141,33,537,1012
2024-07-16 14:15:39,214,60,30,171,29,140,35,537,1012
2024-07-16 14:15:40,213,60,30,168,29,140,37,537,1011
2024-07-16 14:15:41,210,60,30,166,29,139,39,538,1012
2024-07-16 14:15:42,208,59,30,165,29,138,39,538,1012
2024-07-16 14:15:43,205,58,30,163,29,137,35,538,1012
2024-07-16 14:15:44,203,57,30,161,29,136,35,538,1012
2024-07-16 14:15:45,202,57,30,160,29,135,32,538,1011
2024-07-16 14:15:46,200,56,29,159,29,134,32,538,1012
2024-07-16 14:15:48,199,56,29,157,29,133,32,537,1012
2024-07-16 14:15:49,198,55,29,156,29,133,31,537,1011
2024-07-16 14:15:50,197,55,29,155,29,132,31,537,1012
2024-07-16 14:15:51,195,54,29,155,29,131,32,537,1011
2024-07-16 14:15:52,195,54,29,154,29,131,32,536,1012
2024-07-16 14:15:53,194,53,29,153,29,130,32,536,1012
2024-07-16 14:15:54,192,53,29,152,29,130,32,536,1012
2024-07-16 14:15:55,192,53,29,152,29,129,32,536,1012
2024-07-16 14:15:56,191,53,28,151,29,129,32,536,1011
2024-07-16 14:15:57,190,53,28,150,29,129,32,535,1011
2024-07-16 14:15:58,189,52,28,150,29,128,31,535,1012
2024-07-16 14:15:59,188,52,28,149,29,128,32,535,1012
2024-07-16 14:16:00,188,52,28,149,29,128,31,534,1012
2024-07-16 14:16:01,187,52,28,148,29,128,32,534,1012
2024-07-16 14:16:02,187,52,28,148,29,128,32,534,1012
2024-07-16 14:16:03,186,52,28,147,29,127,32,534,1012
2024-07-16 14:16:04,186,51,28,147,29,127,32,534,1012
2024-07-16 14:16:05,185,51,28,147,29,127,32,534,1011
2024-07-16 14:16:06,185,51,28,146,29,127,32,534,1012
2024-07-16 14:16:07,184,51,28,146,29,126,31,534,1012
2024-07-16 14:16:08,184,51,28,146,29,126,31,534,1011
2024-07-16 14:16:09,184,50,28,145,29,126,31,534,1012
2024-07-16 14:16:10,183,51,28,145,29,126,32,534,1012
2024-07-16 14:16:11,183,50,28,145,29,126,32,534,1012
2024-07-16 14:16:12,183,50,28,144,29,126,32,534,1012
2024-07-16 14:16:13,182,50,28,144,29,126,32,534,1012
2024-07-16 14:16:14,182,50,28,144,29,125,31,534,1012
2024-07-16 14:16:15,182,50,28,144,29,125,31,533,1012
2024-07-16 14:16:16,181,50,28,143,29,125,32,534,1012
2024-07-16 14:16:17,181,50,28,143,29,125,32,534,1012
2024-07-16 14:16:18,181,50,28,143,29,125,32,534,1012
2024-07-16 14:16:19,181,50,28,143,29,125,32,534,1012
2024-07-16 14:16:20,180,50,27,142,28,125,32,534,1011
2024-07-16 14:16:21,180,50,28,142,29,125,32,534,1011
2024-07-16 14:16:22,180,49,27,142,29,125,32,534,1012
2024-07-16 14:16:23,180,50,27,142,29,125,32,534,1011
2024-07-16 14:16:24,180,49,27,142,29,125,31,534,1012
2024-07-16 14:16:25,180,49,28,141,29,125,32,534,1012
2024-07-16 14:16:26,179,49,27,141,29,125,32,534,1012
2024-07-16 14:16:27,179,49,27,141,29,125,32,534,1012
2024-07-16 14:16:28,179,49,27,141,29,125,32,534,1012
2024-07-16 14:16:29,179,49,27,141,29,125,32,534,1012
2024-07-16 14:16:30,179,49,27,141,29,125,32,534,1012
2024-07-16 14:16:31,179,49,27,140,29,125,32,534,1011
2024-07-16 14:16:32,179,49,27,140,29,125,32,535,1012
2024-07-16 14:16:33,178,49,27,140,28,125,33,535,1011
2024-07-16 14:16:34,178,49,27,140,29,125,32,535,1012
2024-07-16 14:16:35,178,49,27,140,29,125,32,535,1012
2024-07-16 14:16:36,178,49,27,140,29,125,33,535,1012
2024-07-16 14:16:37,178,49,27,140,28,125,33,535,1012
2024-07-16 14:16:38,177,49,27,139,29,125,32,535,1012
2024-07-16 14:16:39,177,49,27,139,29,124,32,535,1012
2024-07-16 14:16:40,177,49,27,139,28,124,32,535,1012
2024-07-16 14:16:41,177,49,27,139,29,124,32,535,1011
2024-07-16 14:16:42,176,48,27,139,29,124,32,535,1011
