Timestamp,mq2,mq3,mq5,mq6,mq8,mq9,mics_Vred,mics_Vnox,mq214
2024-07-16 13:16:03,324,95,45,230,35,204,328,969,1012
2024-07-16 13:16:04,318,94,46,230,35,198,458,917,1012
2024-07-16 13:16:05,309,92,46,224,35,192,275,914,1012
2024-07-16 13:16:06,301,91,45,220,35,188,130,911,1012
2024-07-16 13:16:07,296,89,43,216,35,185,94,909,1012
2024-07-16 13:16:08,296,89,43,216,34,186,158,907,1012
2024-07-16 13:16:09,296,89,43,216,34,187,133,906,1012
2024-07-16 13:16:10,291,87,42,212,34,183,98,904,1012
2024-07-16 13:16:11,285,86,41,208,34,178,74,902,1012
2024-07-16 13:16:12,279,86,40,205,33,173,80,901,1012
2024-07-16 13:16:13,274,85,40,203,33,172,62,899,1012
2024-07-16 13:16:14,273,84,39,202,33,171,63,898,1012
2024-07-16 13:16:15,272,83,39,200,33,169,78,896,1012
2024-07-16 13:16:16,269,83,39,199,33,168,83,895,1012
2024-07-16 13:16:17,264,83,38,197,33,165,64,893,1012
2024-07-16 13:16:18,262,87,41,204,34,173,345,892,1012
2024-07-16 13:16:19,275,90,44,215,34,187,335,891,1012
2024-07-16 13:16:20,295,93,45,224,34,200,265,889,1012
2024-07-16 13:16:21,328,96,48,238,34,220,414,888,1012
2024-07-16 13:16:22,357,100,50,253,35,233,427,887,1012
2024-07-16 13:16:23,361,101,49,256,35,229,325,885,1012
2024-07-16 13:16:24,359,101,50,254,36,225,268,884,1012
2024-07-16 13:16:25,345,98,47,246,35,212,128,883,1012
2024-07-16 13:16:26,334,96,46,240,35,204,125,882,1012
2024-07-16 13:16:27,326,95,45,235,35,199,128,880,1012
2024-07-16 13:16:28,320,94,44,231,35,195,92,879,1012
2024-07-16 13:16:29,315,92,43,230,34,194,103,878,1012
2024-07-16 13:16:30,309,91,43,227,34,189,124,877,1012
2024-07-16 13:16:31,306,90,42,223,34,188,124,875,1012
2024-07-16 13:16:32,304,90,42,222,34,189,113,874,1011
2024-07-16 13:16:33,303,89,42,222,34,188,79,873,1012
2024-07-16 13:16:34,303,90,42,222,34,188,126,872,1012
2024-07-16 13:16:35,304,90,43,224,34,187,135,871,1012
2024-07-16 13:16:36,306,93,44,229,34,192,161,870,1012
2024-07-16 13:16:37,309,95,46,235,34,196,152,868,1012
2024-07-16 13:16:38,310,95,45,233,34,195,149,867,1012
2024-07-16 13:16:39,305,94,45,230,34,193,113,866,1012
2024-07-16 13:16:40,302,93,44,227,34,190,119,865,1012
2024-07-16 13:16:41,296,92,43,223,34,186,91,864,1012
2024-07-16 13:16:42,288,90,42,218,34,179,74,863,1012
2024-07-16 13:16:43,287,90,42,217,34,180,108,862,1012
2024-07-16 13:16:44,284,89,42,217,34,181,108,861,1012
2024-07-16 13:16:45,279,88,41,213,34,177,77,860,1012
2024-07-16 13:16:46,275,88,41,211,34,175,75,859,1012
2024-07-16 13:16:47,271,87,40,208,34,172,54,858,1012
2024-07-16 13:16:48,269,87,40,207,33,171,152,856,1012
2024-07-16 13:16:49,274,90,44,214,34,182,331,855,1012
2024-07-16 13:16:50,287,91,48,223,35,190,377,855,1012
2024-07-16 13:16:51,297,96,50,233,35,195,269,853,1012
2024-07-16 13:16:52,297,95,49,231,35,191,187,852,1012
2024-07-16 13:16:53,305,95,49,239,35,197,319,851,1012
2024-07-16 13:16:54,316,98,51,248,36,209,358,850,1012
2024-07-16 13:16:55,331,100,55,257,37,213,421,850,1012
2024-07-16 13:16:56,333,100,54,254,37,209,318,849,1012
2024-07-16 13:16:57,327,99,54,252,38,205,230,848,1012
2024-07-16 13:16:58,321,98,52,247,37,201,196,847,1012
2024-07-16 13:16:59,311,97,50,239,37,193,95,846,1012
2024-07-16 13:17:00,304,96,48,232,37,187,71,845,1012
2024-07-16 13:17:01,296,94,46,227,36,182,67,844,1012
2024-07-16 13:17:02,291,93,45,223,36,178,59,843,1012
2024-07-16 13:17:03,284,92,44,218,35,175,51,842,1012
2024-07-16 13:17:04,278,90,42,215,35,172,44,841,1012
2024-07-16 13:17:05,272,89,42,212,35,169,46,840,1012
2024-07-16 13:17:06,267,89,41,218,35,167,44,839,1012
2024-07-16 13:17:07,265,88,40,217,34,167,60,838,1012
2024-07-16 13:17:08,262,88,40,214,34,166,43,837,1012
2024-07-16 13:17:09,258,87,40,211,34,164,37,836,1012
2024-07-16 13:17:10,256,86,39,209,34,162,36,835,1012
2024-07-16 13:17:11,254,85,39,206,34,161,43,835,1012
2024-07-16 13:17:13,251,85,38,203,34,160,41,834,1012
2024-07-16 13:17:14,248,84,38,201,33,158,42,833,1012
2024-07-16 13:17:15,245,84,38,200,33,158,38,832,1012
2024-07-16 13:17:16,243,83,37,198,33,158,42,831,1012
2024-07-16 13:17:17,241,83,37,197,33,156,38,830,1012
2024-07-16 13:17:18,239,82,37,195,33,156,36,829,1012
2024-07-16 13:17:19,240,82,37,196,33,158,60,828,1012
2024-07-16 13:17:20,240,82,37,197,33,158,57,827,1012
2024-07-16 13:17:21,243,83,37,199,33,159,53,827,1012
2024-07-16 13:17:22,246,83,37,201,33,162,74,826,1012
2024-07-16 13:17:23,250,83,38,202,33,164,79,825,1012
2024-07-16 13:17:24,250,84,38,202,33,164,83,824,1012
2024-07-16 13:17:25,246,83,38,200,33,161,61,823,1011
2024-07-16 13:17:26,244,82,37,198,33,160,50,823,1012
2024-07-16 13:17:27,243,82,37,197,33,159,46,822,1012
2024-07-16 13:17:28,242,82,37,196,33,159,43,821,1012
2024-07-16 13:17:29,241,81,37,195,33,157,44,820,1012
2024-07-16 13:17:30,239,81,37,194,33,157,44,820,1012
2024-07-16 13:17:31,236,81,36,193,33,155,41,819,1012
2024-07-16 13:17:32,234,81,37,193,33,154,37,818,1012
2024-07-16 13:17:33,232,81,36,193,32,153,33,817,1012
2024-07-16 13:17:34,230,81,36,194,32,153,34,816,1012
2024-07-16 13:17:35,231,81,36,195,32,154,38,816,1012
2024-07-16 13:17:36,231,81,36,194,32,153,42,815,1012
2024-07-16 13:17:37,231,81,36,193,32,151,35,814,1011
2024-07-16 13:17:38,233,80,36,192,32,151,33,814,1012
2024-07-16 13:17:39,237,81,36,195,32,155,32,813,1012
2024-07-16 13:17:40,238,81,37,196,32,158,60,812,1012
2024-07-16 13:17:41,239,81,37,196,32,160,67,811,1012
2024-07-16 13:17:42,241,81,37,197,32,162,108,811,1012
2024-07-16 13:17:43,241,81,38,196,32,163,99,810,1012
2024-07-16 13:17:44,245,81,37,199,33,164,95,810,1012
2024-07-16 13:17:45,247,81,37,201,33,166,88,809,1012
2024-07-16 13:17:46,253,81,38,201,33,167,88,808,1012
2024-07-16 13:17:47,253,81,38,201,32,166,101,808,1012
2024-07-16 13:17:48,252,81,37,201,33,165,82,807,1012
2024-07-16 13:17:49,250,81,38,199,33,163,80,806,1012
2024-07-16 13:17:50,247,81,38,197,33,161,87,806,1012
2024-07-16 13:17:51,245,81,37,196,33,160,77,805,1012
2024-07-16 13:17:52,243,81,37,196,32,160,61,805,1012
2024-07-16 13:17:53,242,80,37,196,32,159,50,804,1012
2024-07-16 13:17:54,243,80,37,195,32,158,44,803,1012
2024-07-16 13:17:55,241,79,36,193,32,157,41,803,1012
2024-07-16 13:17:56,240,79,36,191,32,156,41,802,1012
2024-07-16 13:17:57,240,78,36,190,32,156,40,801,1012
2024-07-16 13:17:58,239,78,35,189,32,156,38,801,1012
2024-07-16 13:17:59,242,77,35,188,32,155,34,800,1012
2024-07-16 13:18:00,245,77,35,188,32,156,34,799,1012
2024-07-16 13:18:01,246,77,35,190,32,158,47,798,1012
2024-07-16 13:18:02,243,78,35,190,32,156,55,798,1012
2024-07-16 13:18:03,239,77,35,188,32,153,49,797,1012
2024-07-16 13:18:04,235,77,35,187,32,151,40,797,1012
2024-07-16 13:18:05,232,76,35,186,32,150,38,796,1012
2024-07-16 13:18:06,229,76,34,184,32,149,36,795,1012
2024-07-16 13:18:07,227,75,34,183,32,148,34,795,1012
2024-07-16 13:18:08,226,75,34,182,32,147,32,794,1012
2024-07-16 13:18:09,224,74,34,181,32,146,34,793,1012
2024-07-16 13:18:10,222,74,33,180,32,146,34,793,1012
2024-07-16 13:18:11,221,74,33,179,32,145,36,792,1012
2024-07-16 13:18:12,219,73,33,178,31,144,36,792,1012
2024-07-16 13:18:13,217,73,33,177,31,143,36,791,1012
2024-07-16 13:18:14,216,72,33,176,31,142,34,790,1012
2024-07-16 13:18:15,214,72,33,175,31,141,34,790,1012
