Timestamp,mq3,mq2,mq6,mq9,mq8,mq5,mics_Vnox,mics_Vred
2024-04-04 11:49:24,33,197,199,198,197,197,938,126
2024-04-04 11:49:25,33,189,189,189,190,189,872,129
2024-04-04 11:49:26,33,176,174,174,175,173,870,126
2024-04-04 11:49:27,33,184,183,183,182,181,870,125
2024-04-04 11:49:28,33,199,199,198,198,197,869,125
2024-04-04 11:49:29,33,185,184,184,184,184,869,124
2024-04-04 11:49:30,33,175,173,173,172,171,868,122
2024-04-04 11:49:31,33,192,192,190,190,188,868,123
2024-04-04 11:49:32,33,198,196,198,196,195,868,125
2024-04-04 11:49:33,33,177,175,176,175,175,868,125
2024-04-04 11:49:34,33,180,178,177,177,175,867,123
2024-04-04 11:49:35,33,199,199,198,197,197,868,127
2024-04-04 11:49:36,33,187,186,187,187,186,868,129
2024-04-04 11:49:37,33,178,176,177,175,174,868,129
2024-04-04 11:49:38,33,191,191,189,189,188,867,128
2024-04-04 11:49:39,33,197,196,196,196,194,868,126
2024-04-04 11:49:40,33,173,172,172,171,170,867,124
2024-04-04 11:49:41,42,191,190,189,189,188,867,123
2024-04-04 11:49:42,41,181,180,180,179,178,867,122
2024-04-04 11:49:43,38,193,192,191,192,190,867,122
2024-04-04 11:49:44,37,180,179,178,178,178,867,122
2024-04-04 11:49:45,36,185,183,182,182,181,867,121
2024-04-04 11:49:46,36,188,186,186,185,184,867,121
2024-04-04 11:49:47,35,200,199,198,199,197,867,121
2024-04-04 11:49:48,34,191,190,190,191,190,867,121
2024-04-04 11:49:49,34,172,171,170,171,170,867,121
2024-04-04 11:49:51,34,184,183,182,181,180,867,121
2024-04-04 11:49:52,34,196,195,194,193,192,868,121
2024-04-04 11:49:53,34,196,195,195,195,194,867,122
2024-04-04 11:49:54,34,189,188,188,189,188,867,121
2024-04-04 11:49:55,33,178,177,177,177,176,867,120
2024-04-04 11:49:56,33,176,175,174,174,173,867,123
2024-04-04 11:49:57,33,185,184,183,182,181,868,124
2024-04-04 11:49:58,33,197,196,195,195,193,867,121
2024-04-04 11:49:59,33,195,196,195,195,194,867,121
2024-04-04 11:50:00,33,184,184,183,184,184,867,121
2024-04-04 11:50:01,33,174,174,173,173,173,867,122
2024-04-04 11:50:02,33,181,181,179,178,178,867,123
2024-04-04 11:50:03,33,198,197,196,196,195,868,124
