Timestamp,Sensor0,Sensor1,Sensor2
2024-03-28 13:13:18,323,250,63
2024-03-28 13:13:19,322,256,63
2024-03-28 13:13:20,323,286,63
2024-03-28 13:13:21,323,294,63
2024-03-28 13:13:22,323,266,63
2024-03-28 13:13:23,322,258,63
2024-03-28 13:13:24,323,272,63
2024-03-28 13:13:25,323,282,63
2024-03-28 13:13:26,323,265,62
2024-03-28 13:13:27,322,256,63
2024-03-28 13:13:28,323,261,63
2024-03-28 13:13:29,323,277,63
2024-03-28 13:13:30,322,279,63
2024-03-28 13:13:31,323,269,63
2024-03-28 13:13:32,322,257,63
2024-03-28 13:13:33,322,257,62
2024-03-28 13:13:34,323,279,63
2024-03-28 13:13:35,323,281,63
2024-03-28 13:13:36,324,279,63
2024-03-28 13:13:37,322,270,63
2024-03-28 13:13:38,323,257,63
2024-03-28 13:13:39,323,253,63
2024-03-28 13:13:40,323,274,63
2024-03-28 13:13:41,323,276,63
2024-03-28 13:13:42,324,279,63
2024-03-28 13:13:43,323,282,63
2024-03-28 13:13:44,322,276,63
2024-03-28 13:13:45,322,266,63
2024-03-28 13:13:46,322,256,62
2024-03-28 13:13:47,322,256,62
2024-03-28 13:13:48,322,262,63
2024-03-28 13:13:49,322,272,63
2024-03-28 13:13:50,322,277,62
2024-03-28 13:13:51,324,275,63
2024-03-28 13:13:52,323,269,63
2024-03-28 13:13:53,322,256,63
2024-03-28 13:13:54,323,265,63
2024-03-28 13:13:55,322,264,63
2024-03-28 13:13:56,323,271,62
2024-03-28 13:13:57,323,278,63
2024-03-28 13:13:58,323,282,62
2024-03-28 13:13:59,323,273,63
2024-03-28 13:14:00,322,263,62
2024-03-28 13:14:01,322,256,63
2024-03-28 13:14:02,323,270,62
2024-03-28 13:14:03,322,272,63
2024-03-28 13:14:04,322,274,63
2024-03-28 13:14:05,323,278,63
2024-03-28 13:14:06,323,273,63
2024-03-28 13:14:07,323,234,62
2024-03-28 13:14:08,323,250,63
2024-03-28 13:14:09,323,254,63
2024-03-28 13:14:10,322,248,63
2024-03-28 13:14:11,322,233,62
2024-03-28 13:14:12,322,219,62
2024-03-28 13:14:13,323,349,63
2024-03-28 13:14:14,323,311,63
2024-03-28 13:14:15,322,289,63
2024-03-28 13:14:16,322,275,63
2024-03-28 13:14:17,323,264,63
2024-03-28 13:14:18,322,258,63
2024-03-28 13:14:19,322,255,63
2024-03-28 13:14:20,322,269,63
2024-03-28 13:14:21,323,282,63
2024-03-28 13:14:22,322,283,63
2024-03-28 13:14:23,322,265,62
2024-03-28 13:14:24,323,244,63
2024-03-28 13:14:25,322,253,63
2024-03-28 13:14:26,322,232,63
2024-03-28 13:14:27,322,246,63
2024-03-28 13:14:28,323,358,63
2024-03-28 13:14:29,323,296,63
2024-03-28 13:14:30,322,293,63
2024-03-28 13:14:31,323,290,63
2024-03-28 13:14:32,323,283,63
2024-03-28 13:14:33,322,263,62
2024-03-28 13:14:34,322,256,63
2024-03-28 13:14:35,322,270,63
2024-03-28 13:14:36,323,286,63
2024-03-28 13:14:37,322,270,63
2024-03-28 13:14:38,322,254,63
2024-03-28 13:14:39,323,272,63
2024-03-28 13:14:40,323,268,63
2024-03-28 13:14:41,324,311,63
2024-03-28 13:14:42,324,304,63
2024-03-28 13:14:43,324,292,63
2024-03-28 13:14:44,323,282,63
2024-03-28 13:14:45,323,276,63
2024-03-28 13:14:46,323,264,63
2024-03-28 13:14:47,323,285,63
2024-03-28 13:14:48,324,286,63
2024-03-28 13:14:49,323,316,63
2024-03-28 13:14:50,323,157,63
2024-03-28 13:14:51,323,239,63
2024-03-28 13:14:52,323,222,63
2024-03-28 13:14:53,323,319,63
2024-03-28 13:14:54,322,760,63
2024-03-28 13:14:55,323,643,63
